id,type,lat,lon
way/862851524,Polygon,-7.071044519999999,109.78460294000001
way/862852731,Polygon,-7.0702475399999996,109.78433634000001
way/862852732,Polygon,-7.07134368,109.78335614
way/862852733,Polygon,-7.071417500000001,109.78333524
way/862852734,Polygon,-7.07115354,109.78333441999999
way/862852735,Polygon,-7.07108032,109.78337894
way/862852736,Polygon,-7.0711122,109.78388850000002
way/862852737,Polygon,-7.071305545454546,109.78380738181819
way/862852738,Polygon,-7.07107388,109.7836925
way/862852739,Polygon,-7.07248948,109.78413327999999
way/862852740,Polygon,-7.0726926599999995,109.78437328
way/862852742,Polygon,-7.07311604,109.78423558
way/862852743,Polygon,-7.0731036000000005,109.78401507999999
way/862852746,Polygon,-7.07350506,109.78420632
way/865338051,Polygon,-7.0654908800000005,109.78807822000002
way/865338052,Polygon,-7.065520340000001,109.78827328
way/865338053,Polygon,-7.06540464,109.78831796
way/865338054,Polygon,-7.065411971428572,109.78818211428572
way/865338055,Polygon,-7.06564988,109.78852838
way/865338056,Polygon,-7.06550154,109.78847857999999
way/865338057,Polygon,-7.06545524,109.78853099999999
way/865338058,Polygon,-7.065374571428571,109.78858834285714
way/865338059,Polygon,-7.065265460000001,109.78851954
way/865338060,Polygon,-7.065279739999999,109.78861411999999
way/865338061,Polygon,-7.0651768399999995,109.78836004
way/865338062,Polygon,-7.065118833333333,109.78867318888888
way/865338063,Polygon,-7.06498594,109.78874408000001
way/865338064,Polygon,-7.06491618,109.78878133999999
way/865338065,Polygon,-7.0648705199999995,109.78881784000001
way/865338066,Polygon,-7.064735719999999,109.7887979
way/865338067,Polygon,-7.064555422222222,109.7888743888889
way/865338068,Polygon,-7.064491179999999,109.78896414
way/865338069,Polygon,-7.064426559999999,109.7890253
way/865338097,Polygon,-7.064438240000001,109.78962778
way/865338098,Polygon,-7.064432257142856,109.78973502857143
way/865338099,Polygon,-7.0643473666666665,109.78992451111111
way/865338100,Polygon,-7.06473146,109.79094117999998
way/865339427,Polygon,-7.064793571428573,109.79106705714284
way/865339428,Polygon,-7.0648663,109.79089652
way/865339429,Polygon,-7.06488746,109.79096828000002
way/865339430,Polygon,-7.064875859999999,109.79126999999998
way/865339431,Polygon,-7.06495354,109.79125838
way/865339432,Polygon,-7.065048020000001,109.79122842000001
way/865339433,Polygon,-7.06512234,109.79122441999998
way/865339434,Polygon,-7.06513324,109.79138144000001
way/865339435,Polygon,-7.065273185714285,109.79120442857142
way/865339436,Polygon,-7.065286985714287,109.7913175
way/865339437,Polygon,-7.06537842,109.79120848
way/865339438,Polygon,-7.065573157142857,109.79118228571429
way/865339439,Polygon,-7.0656501800000004,109.79112472
way/865339440,Polygon,-7.065978580000001,109.79121354000002
way/865339441,Polygon,-7.065982519999999,109.79108464000001
way/865339442,Polygon,-7.066033142857144,109.79094752857142
way/865339443,Polygon,-7.066175279999999,109.79093726
way/865339444,Polygon,-7.06625328,109.79089824
way/865339445,Polygon,-7.066247339999999,109.79095976
way/865339446,Polygon,-7.066304016666667,109.79098516666666
way/865339447,Polygon,-7.066385814285715,109.79086917142857
way/865339448,Polygon,-7.066606242857143,109.79079062857144
way/865339449,Polygon,-7.066632,109.7909817
way/865339450,Polygon,-7.06661794,109.79053533999999
way/865339451,Polygon,-7.066531039999999,109.79054737999999
way/865341602,Polygon,-7.0650029000000005,109.79069743999999
way/865341603,Polygon,-7.065001820000001,109.79089146000001
way/865341604,Polygon,-7.0650362,109.79100609999998
way/865341605,Polygon,-7.065075520000001,109.79087286
way/865341606,Polygon,-7.06510428,109.79099584000001
way/865341607,Polygon,-7.065220479999999,109.7907882
way/865341608,Polygon,-7.065215960000001,109.79100358000001
way/865341609,Polygon,-7.06529456,109.79099836
way/865341610,Polygon,-7.065407585714285,109.79099155714285
way/865341611,Polygon,-7.0654731,109.79083885555555
way/865341612,Polygon,-7.065607420000001,109.79094906
way/865341613,Polygon,-7.0657526399999995,109.79087502000002
way/865341614,Polygon,-7.065864479999999,109.79085307999999
way/865341615,Polygon,-7.06590052,109.79068796000001
way/865341616,Polygon,-7.06591272,109.79057097999998
way/865341617,Polygon,-7.0661092199999995,109.790739
way/865341618,Polygon,-7.066059279999999,109.79064120000001
way/865341619,Polygon,-7.066194628571429,109.79066722857144
way/865341620,Polygon,-7.0663532,109.79066689999999
way/865341621,Polygon,-7.066439819999999,109.7906128
way/865341622,Polygon,-7.06629566,109.7903853
way/865341623,Polygon,-7.0663246,109.79048605999999
way/865341624,Polygon,-7.066314357142857,109.79058151428572
way/865341625,Polygon,-7.06638398,109.79047023999999
way/865341626,Polygon,-7.06641104,109.79030316000001
way/865341627,Polygon,-7.066512300000001,109.79024582000002
way/865341628,Polygon,-7.06658286,109.79023349999997
way/865341629,Polygon,-7.066593942857142,109.7904346
way/865341630,Polygon,-7.066801979999999,109.79014756000001
way/865341631,Polygon,-7.06684736,109.78997097999999
way/865341632,Polygon,-7.06662148,109.78983315999999
way/865341633,Polygon,-7.06674036,109.78993254
way/865341634,Polygon,-7.066973679999999,109.7898979
way/865341635,Polygon,-7.066885779999998,109.7900587
way/865341636,Polygon,-7.0669751199999995,109.7903128
way/865341637,Polygon,-7.0671759199999995,109.79030046
way/865341638,Polygon,-7.067348239999999,109.79014348000001
way/865341639,Polygon,-7.067432188888889,109.7902345888889
way/865341640,Polygon,-7.06752946,109.79003664
way/865341641,Polygon,-7.067698179999999,109.79014224000002
way/865341642,Polygon,-7.067790560000001,109.79011691999999
way/865341643,Polygon,-7.06718332,109.78984676
way/865341644,Polygon,-7.0672424000000005,109.78971754
way/865341645,Polygon,-7.067389180000001,109.78966568000001
way/865341646,Polygon,-7.067297979999999,109.78983450000001
way/865341647,Polygon,-7.0674955,109.78986494
way/865341648,Polygon,-7.067422371428571,109.78978932857144
way/865341649,Polygon,-7.0677447,109.78997945714286
way/865341650,Polygon,-7.0677947,109.78984949999999
way/865341651,Polygon,-7.0668956000000005,109.79070104
way/865344799,Polygon,-7.066927560000001,109.79055874000001
way/865344800,Polygon,-7.06707512,109.79054833999999
way/865344801,Polygon,-7.067135414285715,109.79069497142856
way/865344802,Polygon,-7.067176520000001,109.79081884
way/865344803,Polygon,-7.067196040000001,109.79056376000001
way/865344804,Polygon,-7.0672769,109.79054552
way/865344805,Polygon,-7.06738888,109.79049579999999
way/865344806,Polygon,-7.06754894,109.79040325999999
way/865344807,Polygon,-7.0675615714285716,109.79055147142859
way/865344808,Polygon,-7.067668359999999,109.79040649999999
way/865344809,Polygon,-7.06732996,109.79081196
way/865344810,Polygon,-7.0670721599999995,109.79098704
way/865344811,Polygon,-7.06698286,109.7911241
way/865344812,Polygon,-7.06696896,109.79126151999999
way/865344813,Polygon,-7.067076160000001,109.79135561999999
way/865344814,Polygon,-7.06756204,109.7916203
way/865344815,Polygon,-7.06768002,109.79160945999999
way/865344816,Polygon,-7.067786500000001,109.79155955714286
way/865344817,Polygon,-7.067884140000001,109.79148281999998
way/865344818,Polygon,-7.068092080000001,109.79153096
way/865344819,Polygon,-7.068027519999999,109.79171166
way/865344820,Polygon,-7.06806,109.79181410000001
way/865344821,Polygon,-7.0679779400000005,109.79183068000002
way/865344822,Polygon,-7.067709359999999,109.79189609999999
way/865344823,Polygon,-7.06764848,109.7917612
way/865344824,Polygon,-7.06775698,109.79173208
way/865344825,Polygon,-7.067558340000001,109.79194401999999
way/865344826,Polygon,-7.06763654,109.79191064000001
way/865344827,Polygon,-7.067500239999999,109.79204706
way/865344828,Polygon,-7.0674064,109.79200105999999
way/865344829,Polygon,-7.0675163,109.7922536
way/865344830,Polygon,-7.0676508799999995,109.79228798
way/865344831,Polygon,-7.0678588399999995,109.79206936
way/865344832,Polygon,-7.0678527,109.792249
way/865344833,Polygon,-7.06793734,109.79257270000001
way/865344834,Polygon,-7.06788892,109.7924626
way/865344835,Polygon,-7.06794106,109.79268099999999
way/865344836,Polygon,-7.067789379999999,109.79296409999999
way/865344837,Polygon,-7.06776968,109.79306752
way/865344838,Polygon,-7.067958628571428,109.79302465714285
way/865344839,Polygon,-7.068003299999999,109.79317054
way/865344840,Polygon,-7.067924700000001,109.79313452
way/865344841,Polygon,-7.0677818142857145,109.79322131428572
way/865344842,Polygon,-7.067846919999999,109.79310888
way/865344843,Polygon,-7.06797526,109.79343838
way/865344844,Polygon,-7.067985414285714,109.79358219999999
